title                    	CLASS	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
lcl|U00096.3_cds_AAC73126	HOST	0.28	0.2233	0.3934	0.2809	0.119	-0.092	0.36	59.38	0.426	0.575	333	353	-1.139377	0.101983
lcl|U00096.3_cds_AAC73127	HOST	0.3149	0.3052	0.2587	0.3195	0.19	0.149	0.516	53.82	0.51	0.544	335	343	-0.613994	0.069971
lcl|U00096.3_cds_AAC73129	HOST	0.4182	0.3091	0.3636	0.1395	0.326	0.167	0.532	61	0.371	0.547	62	64	-1.173438	0.0625
lcl|U00096.3_cds_AAT48122	HOST	0.2564	0.4103	0.1463	0.4444	0.367	0.219	0.542	46.3	0.667	0.54	48	50	0.682	0.04
lcl|U00096.3_cds_AAC73130	HOST	0.2357	0.2707	0.2885	0.3952	0.142	0.031	0.407	54.21	0.551	0.528	332	365	0.272055	0.134247
lcl|U00096.3_cds_AAC73131	HOST	0.377	0.2262	0.3839	0.2079	0.155	-0.026	0.4	55.24	0.36	0.494	275	284	-0.468662	0.102113
lcl|U00096.3_cds_AAC73132	HOST	0.2174	0.3986	0.2542	0.2636	0.155	0.004	0.431	50.76	0.583	0.569	144	157	-0.41465	0.070064
lcl|U00096.3_cds_AAC73133	HOST	0.25	0.2895	0.3378	0.2535	0.207	0.06	0.429	52.98	0.476	0.539	84	89	0.420225	0.078652
lcl|U00096.3_cds_AAC73134	HOST	0.2656	0.3906	0.45	0.1579	0.213	-0.006	0.449	44.32	0.436	0.515	78	79	-1.197468	0.075949
lcl|U00096.3_cds_AAC73135	HOST	0.3509	0.2982	0.2	0.4091	0.317	0.147	0.516	54.52	0.547	0.515	64	66	-0.075758	0.19697
lcl|U00096.3_cds_AAC73136	HOST	0.1789	0.3699	0.2166	0.4527	0.185	0.068	0.447	46.21	0.667	0.556	273	293	0.094198	0.109215
lcl|U00096.3_cds_AAC73137	HOST	0.1912	0.2861	0.2374	0.4334	0.161	0.015	0.415	52.19	0.621	0.569	838	901	-0.339623	0.065483
lcl|U00096.3_cds_AAC73138	HOST	0.4444	0.2153	0.2906	0.2368	0.18	0.033	0.423	52.42	0.372	0.549	156	159	-0.408805	0.100629
lcl|U00096.3_cds_AAC73139	HOST	0.376	0.304	0.3235	0.15	0.163	0.008	0.421	52.34	0.398	0.572	133	138	-0.856522	0.108696
lcl|U00096.3_cds_AAC73140	HOST	0.2885	0.3636	0.1937	0.4052	0.425	0.332	0.607	38.73	0.604	0.553	308	316	-0.172785	0.050633
lcl|U00096.3_cds_AAC73141	HOST	0.176	0.32	0.2603	0.4183	0.182	0.147	0.481	54	0.623	0.574	268	296	0.034459	0.108108
lcl|U00096.3_cds_AAC73142	HOST	0.1349	0.2279	0.2698	0.5459	0.122	-0.08	0.325	48.73	0.642	0.546	243	263	0.311787	0.068441
lcl|U00096.3_cds_AAC73143	HOST	0.3221	0.3037	0.3759	0.188	0.156	0.072	0.457	51.5	0.417	0.553	357	366	-1.185246	0.087432
lcl|U00096.3_cds_AAC73144	HOST	0.1572	0.2878	0.2599	0.4319	0.146	0.033	0.42	51.84	0.63	0.576	936	1024	-0.468848	0.084961
lcl|U00096.3_cds_AAC73145	HOST	0.3981	0.1845	0.3516	0.2809	0.155	-0.109	0.368	57.64	0.376	0.496	117	119	-0.820168	0.067227
lcl|U00096.3_cds_AAC73146	HOST	0.3054	0.3593	0.1611	0.4	0.222	0.021	0.423	46.77	0.603	0.551	189	196	-0.011224	0.056122
lcl|U00096.3_cds_AAC73147	HOST	0.3548	0.2949	0.2984	0.2446	0.166	0.081	0.477	53.86	0.449	0.559	243	247	-0.957895	0.072874
lcl|U00096.3_cds_AAC73148	HOST	0.2264	0.2807	0.294	0.4029	0.157	0.05	0.436	58.4	0.554	0.52	466	498	-0.117872	0.096386
lcl|U00096.3_cds_AAC73149	HOST	0.2748	0.4696	0.2424	0.2836	0.424	0.367	0.635	41.85	0.585	0.528	381	405	-0.171358	0.101235
lcl|U00096.3_cds_AAC73150	HOST	0.3462	0.2276	0.363	0.2652	0.153	-0.003	0.412	53.17	0.406	0.562	347	354	-0.89887	0.079096
lcl|U00096.3_cds_AAC73151	HOST	0.2589	0.4252	0.1826	0.3375	0.353	0.304	0.583	46.28	0.62	0.519	463	504	0.721429	0.154762
lcl|U00096.3_cds_AAC73152	HOST	0.1429	0.2857	0.2513	0.5027	0.134	0.1	0.451	46.42	0.659	0.544	226	242	-0.389256	0.066116
lcl|U00096.3_cds_AAC73153	HOST	0.2617	0.418	0.1829	0.3612	0.438	0.419	0.664	42.02	0.628	0.568	301	313	-0.084984	0.057508
lcl|U00096.3_cds_AAC73154	HOST	0.1622	0.2793	0.2588	0.4764	0.159	0.049	0.428	50.58	0.634	0.564	369	405	-0.220988	0.083951
lcl|U00096.3_cds_AAC73155	HOST	0.2133	0.2933	0.1912	0.4219	0.153	-0.014	0.397	54.98	0.628	0.58	78	92	-0.083696	0.108696
lcl|U00096.3_cds_AAC73156	HOST	0.2827	0.3413	0.1637	0.402	0.262	0.176	0.502	48.36	0.605	0.534	408	443	0.663657	0.117381
lcl|U00096.3_cds_AAC73157	HOST	0.3525	0.3309	0.1626	0.4505	0.333	0.197	0.533	52.03	0.582	0.547	165	176	-0.227841	0.119318
lcl|U00096.3_cds_AAC73158	HOST	0.1926	0.3279	0.259	0.4257	0.139	0.044	0.426	50.71	0.62	0.569	531	590	-0.312881	0.120339
lcl|U00096.3_cds_AAC73159	HOST	0.208	0.28	0.2583	0.422	0.144	-0.008	0.406	56.99	0.587	0.548	138	149	-0.238926	0.067114
lcl|U00096.3_cds_AAC73160	HOST	0.213	0.3435	0.2338	0.4044	0.15	0.044	0.434	56.33	0.614	0.569	249	270	-0.137778	0.085185
lcl|U00096.3_cds_AAC73161	HOST	0.19	0.32	0.2872	0.3933	0.201	0.054	0.442	46.29	0.593	0.53	113	122	-0.060656	0.098361
lcl|U00096.3_cds_AAC73162	HOST	0.1773	0.3545	0.298	0.3497	0.145	0.027	0.417	54.31	0.592	0.544	240	261	-0.342912	0.088123
lcl|U00096.3_cds_AAC73163	HOST	0.1196	0.3514	0.2593	0.4474	0.148	0.102	0.447	48.55	0.675	0.576	295	316	-0.089557	0.094937
lcl|U00096.3_cds_AAC73164	HOST	0.1192	0.3256	0.2955	0.4103	0.133	0.044	0.426	52.13	0.632	0.557	380	400	-0.277	0.0575
lcl|U00096.3_cds_AAC73165	HOST	0.2289	0.2605	0.3133	0.344	0.151	0.017	0.412	57.61	0.515	0.519	712	765	0.087059	0.064052
lcl|U00096.3_cds_AAC73166	HOST	0.3559	0.2252	0.3641	0.2556	0.212	0.029	0.442	55.34	0.397	0.553	242	252	-0.498016	0.087302
lcl|U00096.3_cds_55_[gene	HOST	0.4146	0.3073	0.2708	0.309	0.305	0.165	0.518	50.7	0.463	0.432	255	268	-0.420896	0.078358
lcl|U00096.3_cds_AAC73169	HOST	0.2982	0.2222	0.2335	0.4969	0.31	0.133	0.483	42.64	0.565	0.542	207	219	-0.427854	0.073059
lcl|U00096.3_cds_AAC73170	HOST	0.3488	0.2301	0.363	0.2221	0.166	0.016	0.433	53.51	0.387	0.571	891	904	-0.859182	0.070796
lcl|U00096.3_cds_AAC73171	HOST	0.1962	0.383	0.2226	0.3699	0.185	0.13	0.487	51.35	0.635	0.564	698	753	-0.218991	0.088977
lcl|U00096.3_cds_AAC73172	HOST	0.1755	0.2819	0.2935	0.4118	0.163	0.003	0.414	46.09	0.586	0.562	210	224	-0.425893	0.066964
lcl|U00096.3_cds_AAC73173	HOST	0.3452	0.2506	0.3713	0.1995	0.174	0.047	0.442	50.37	0.387	0.576	462	476	-0.896849	0.07563
lcl|U00096.3_cds_AAC73174	HOST	0.1722	0.3071	0.2272	0.4518	0.151	0.084	0.444	54.27	0.648	0.589	525	551	-0.07314	0.067151
lcl|U00096.3_cds_AAC73175	HOST	0.3415	0.2195	0.3318	0.2627	0.146	-0.082	0.372	59.4	0.413	0.547	269	274	-0.416788	0.076642
lcl|U00096.3_cds_AAC73176	HOST	0.4688	0.2321	0.1639	0.2753	0.258	0.137	0.504	51.04	0.428	0.556	236	244	0.041803	0.122951
lcl|U00096.3_cds_AAC73177	HOST	0.1925	0.3476	0.2642	0.351	0.137	0.082	0.459	55	0.602	0.602	196	211	-0.516588	0.109005
lcl|U00096.3_cds_AAC73178	HOST	0.2299	0.3839	0.2145	0.342	0.194	0.144	0.498	53.28	0.617	0.601	470	513	-0.108187	0.122807
lcl|U00096.3_cds_AAC73179	HOST	0.3398	0.3164	0.345	0.1719	0.216	0.228	0.551	48.77	0.415	0.554	301	309	-0.98123	0.048544
lcl|U00096.3_cds_AAC73180	HOST	0.3326	0.2183	0.3568	0.2572	0.18	0.004	0.426	53.19	0.405	0.561	524	535	-0.477944	0.063551
lcl|U00096.3_cds_ACO59989	HOST	0.3667	0.2667	0.3214	0.3214	0.227	0.123	0.486	41.08	0.459	0.473	37	43	-0.55814	0.162791
lcl|U00096.3_cds_AAT48123	HOST	0.4738	0.2733	0.1897	0.2575	0.245	0.064	0.468	51.43	0.422	0.5	365	377	-0.151194	0.129973
lcl|U00096.3_cds_AAC73182	HOST	0.3571	0.256	0.4161	0.1644	0.169	0.035	0.439	48.3	0.354	0.533	189	192	-0.615104	0.098958
lcl|U00096.3_cds_AAC73183	HOST	0.301	0.3085	0.349	0.2262	0.15	0.036	0.441	54.32	0.455	0.573	440	447	-1.27047	0.080537
lcl|U00096.3_cds_AAC73184	HOST	0.3248	0.2797	0.3346	0.2332	0.148	-0.003	0.412	57.68	0.436	0.576	335	342	-0.895029	0.067251
lcl|U00096.3_cds_AAC73185	HOST	0.3402	0.2621	0.3958	0.2033	0.152	-0.001	0.421	56.11	0.388	0.553	487	494	-1.227328	0.078947
lcl|U00096.3_cds_AAC73186	HOST	0.44	0.16	0.2381	0.35	0.182	-0.038	0.407	32.33	0.407	0.494	27	27	-1.014815	0.111111
lcl|U00096.3_cds_AAC73187	HOST	0.2389	0.3441	0.2933	0.369	0.196	0.115	0.467	52.22	0.562	0.471	274	296	0.041554	0.128378
lcl|U00096.3_cds_AAC73188	HOST	0.3521	0.2636	0.3479	0.2166	0.193	0.028	0.447	55.34	0.406	0.547	535	546	-0.710806	0.089744
lcl|U00096.3_cds_AAC73189	HOST	0.4088	0.219	0.3091	0.2929	0.177	0.003	0.43	54.73	0.396	0.523	149	153	-0.731372	0.078431
lcl|U00096.3_cds_AAC73191	HOST	0.3357	0.2686	0.3445	0.2203	0.185	0.054	0.459	56.29	0.42	0.573	305	313	-0.461981	0.067093
lcl|U00096.3_cds_AAC73192	HOST	0.2609	0.3043	0.2941	0.3894	0.246	0.16	0.493	61	0.549	0.524	144	152	-0.246711	0.059211
lcl|U00096.3_cds_AAC73193	HOST	0.3438	0.2812	0.3318	0.2264	0.181	0.082	0.477	50.19	0.43	0.574	279	294	-0.943878	0.119048
lcl|U00096.3_cds_AAC73194	HOST	0.2812	0.2917	0.2857	0.382	0.257	0.165	0.496	56.47	0.53	0.507	117	121	-0.026446	0.024793
lcl|U00096.3_cds_AAC73195	HOST	0.2971	0.3545	0.2064	0.3494	0.366	0.341	0.612	46.02	0.573	0.541	567	588	-0.15034	0.071429
lcl|U00096.3_cds_AAC73196	HOST	0.3012	0.306	0.2202	0.3939	0.384	0.272	0.574	42.94	0.563	0.566	476	495	-0.046061	0.056566
lcl|U00096.3_cds_AAC73197	HOST	0.1388	0.289	0.2727	0.4615	0.147	0.082	0.437	51.69	0.64	0.572	394	426	-0.169249	0.086854
lcl|U00096.3_cds_AAC73198	HOST	0.2774	0.3355	0.1587	0.4245	0.363	0.287	0.564	41.13	0.617	0.535	337	360	0.824167	0.136111
lcl|U00096.3_cds_AAC73199	HOST	0.3178	0.3096	0.2136	0.3746	0.385	0.316	0.597	44.17	0.555	0.549	422	438	0.004794	0.057078
lcl|U00096.3_cds_AAC73200	HOST	0.2536	0.3084	0.1969	0.433	0.318	0.296	0.569	43.54	0.605	0.531	385	414	0.692029	0.113527
lcl|U00096.3_cds_AAC73201	HOST	0.3225	0.3127	0.2752	0.251	0.2	0.043	0.462	56.44	0.483	0.58	329	338	-0.518639	0.076923
lcl|U00096.3_cds_AAC73202	HOST	0.3429	0.2854	0.3384	0.2301	0.18	0.014	0.448	53.93	0.432	0.569	449	462	-0.891342	0.106061
lcl|U00096.3_cds_AAC73203	HOST	0.2443	0.2986	0.2427	0.4639	0.182	0.027	0.427	56.37	0.6	0.535	260	284	-0.453873	0.126761
lcl|U00096.3_cds_AAC73204	HOST	0.1887	0.3726	0.2932	0.3466	0.142	0.063	0.449	57.68	0.593	0.548	236	259	-0.386873	0.07722
lcl|U00096.3_cds_AAC73205	HOST	0.3294	0.2819	0.2522	0.377	0.321	0.158	0.505	48.49	0.52	0.522	410	420	-0.024524	0.042857
lcl|U00096.3_cds_AAC73206	HOST	0.3645	0.3161	0.2007	0.3369	0.521	0.451	0.681	44.52	0.526	0.543	367	383	-0.0047	0.041775
lcl|U00096.3_cds_AAC73207	HOST	0.375	0.2617	0.3707	0.2256	0.156	-0.059	0.389	55.73	0.392	0.532	283	288	-0.657986	0.104167
lcl|U00096.3_cds_AAC73208	HOST	0.2143	0.3929	0.2519	0.3167	0.19	0.106	0.455	52.06	0.596	0.554	156	163	-0.361963	0.067485
lcl|U00096.3_cds_AAC73209	HOST	0.3333	0.2421	0.4025	0.2013	0.142	-0.036	0.406	53.71	0.377	0.549	825	839	-1.008462	0.075089
lcl|U00096.3_cds_AAC73210	HOST	0.3551	0.2336	0.3478	0.2472	0.146	-0.062	0.41	59.45	0.402	0.524	117	117	-0.712821	0.068376
lcl|U00096.3_cds_AAC73212	HOST	0.24	0.28	0.32	0.3673	0.114	-0.028	0.383	53.58	0.533	0.532	60	62	-1.070968	0.064516
lcl|U00096.3_cds_AAC73213	HOST	0.1914	0.4163	0.2381	0.3506	0.204	0.14	0.489	49.81	0.638	0.534	221	234	0.204274	0.115385
lcl|U00096.3_cds_AAC73214	HOST	0.3391	0.3046	0.3881	0.1756	0.228	0.056	0.465	58.25	0.406	0.557	187	191	-0.442408	0.062827
lcl|U00096.3_cds_AAC73215	HOST	0.3821	0.3643	0.2164	0.264	0.47	0.392	0.652	43.13	0.505	0.515	333	347	-0.067723	0.072046
lcl|U00096.3_cds_AAC73217	HOST	0.2436	0.2724	0.2871	0.4103	0.238	0.13	0.474	52.67	0.55	0.521	371	400	0.30825	0.0725
lcl|U00096.3_cds_AAC73218	HOST	0.2929	0.3061	0.2781	0.3391	0.252	0.107	0.463	56.17	0.521	0.536	449	461	-0.020608	0.039046
lcl|U00096.3_cds_AAC73219	HOST	0.1983	0.2414	0.3491	0.3824	0.218	0.061	0.441	53.23	0.528	0.549	127	139	0.132374	0.086331
lcl|U00096.3_cds_AAC73220	HOST	0.1718	0.3216	0.2723	0.4673	0.171	0.032	0.433	52.45	0.631	0.544	263	287	-0.285366	0.087108
lcl|U00096.3_cds_AAC73221	HOST	0.2911	0.3038	0.3252	0.25	0.189	0.018	0.433	55.01	0.476	0.559	164	171	-0.349123	0.111111
lcl|U00096.3_cds_AAC73222	HOST	0.2775	0.348	0.1923	0.3818	0.18	0.079	0.442	54.33	0.592	0.535	240	269	0.149814	0.167286
lcl|U00096.3_cds_AAC73223	HOST	0.2639	0.3641	0.1988	0.3819	0.426	0.359	0.616	39.49	0.602	0.528	425	457	0.812254	0.122538
lcl|U00096.3_cds_AAC73224	HOST	0.3318	0.2212	0.3641	0.2178	0.165	0.019	0.427	53.84	0.385	0.572	239	242	-0.823554	0.049587
lcl|U00096.3_cds_AAC73225	HOST	0.3285	0.4294	0.1927	0.3339	0.668	0.637	0.792	33.57	0.584	0.531	854	887	-0.436866	0.098083
lcl|U00096.3_cds_AAC73226	HOST	0.1128	0.2364	0.2485	0.5438	0.122	-0.064	0.353	47.12	0.681	0.562	561	591	-0.578004	0.06599
lcl|U00096.3_cds_AAC73227	HOST	0.365	0.2776	0.355	0.203	0.136	-0.008	0.418	56.81	0.402	0.548	438	448	-1.602232	0.089286
lcl|U00096.3_cds_AAC73228	HOST	0.2456	0.3458	0.3915	0.1858	0.204	0.048	0.46	54.29	0.457	0.561	569	579	-0.775475	0.056995
lcl|U00096.3_cds_AAC73229	HOST	0.3068	0.3651	0.184	0.3796	0.562	0.52	0.719	36.9	0.593	0.56	835	865	-0.114798	0.067052
lcl|U00096.3_cds_AAC73230	HOST	0.2262	0.2976	0.1899	0.5405	0.164	-0.031	0.414	45.28	0.657	0.536	99	115	-0.493043	0.130435
lcl|U00096.3_cds_AAC73231	HOST	0.3886	0.4123	0.2033	0.3101	0.403	0.254	0.569	42.28	0.533	0.463	255	264	-0.305682	0.090909
lcl|U00096.3_cds_AAC73232	HOST	0.2194	0.2954	0.2511	0.4	0.157	0.025	0.419	54.15	0.581	0.519	258	277	0.067509	0.090253
lcl|U00096.3_cds_AAC73233	HOST	0.3933	0.236	0.3556	0.2159	0.156	0.104	0.458	52.69	0.374	0.521	107	110	-1.131818	0.072727
lcl|U00096.3_cds_AAC73234	HOST	0.3	0.3098	0.1903	0.446	0.343	0.217	0.54	46.36	0.594	0.548	478	516	-0.164535	0.069767
lcl|U00096.3_cds_AAC73235	HOST	0.3358	0.3283	0.2872	0.219	0.18	0.047	0.45	57.55	0.469	0.578	725	750	-0.769333	0.088
lcl|U00096.3_cds_AAC73236	HOST	0.4161	0.1946	0.3333	0.2302	0.132	-0.095	0.362	51.03	0.356	0.527	163	165	-0.84303	0.09697
lcl|U00096.3_cds_AAC73237	HOST	0.1823	0.3481	0.3097	0.3673	0.215	0.137	0.5	53.7	0.591	0.516	198	214	-0.026168	0.116822
lcl|U00096.3_cds_AAC73238	HOST	0.3904	0.2072	0.3728	0.2217	0.181	0.059	0.468	51.19	0.356	0.518	284	290	-0.966552	0.075862
lcl|U00096.3_cds_AAC73239	HOST	0.5265	0.2301	0.2143	0.1963	0.252	0.065	0.452	50.06	0.351	0.516	239	250	0.0104	0.14
lcl|U00096.3_cds_AAC73240	HOST	0.2655	0.3274	0.2245	0.3667	0.198	0.095	0.459	61	0.574	0.524	122	133	0.039849	0.097744
lcl|U00096.3_cds_AAC73241	HOST	0.3431	0.2815	0.2391	0.3935	0.247	0.049	0.443	49.77	0.522	0.496	393	409	-0.27824	0.107579
lcl|U00096.3_cds_AAC73242	HOST	0.3238	0.3048	0.3537	0.2805	0.175	0.023	0.441	61	0.466	0.545	118	118	-1.29322	0.101695
lcl|U00096.3_cds_AAC73243	HOST	0.3422	0.2533	0.2682	0.4335	0.237	0.03	0.427	54.24	0.516	0.49	281	300	-0.269333	0.08
lcl|U00096.3_cds_AAC73244	HOST	0.395	0.2269	0.3682	0.2161	0.161	-0.041	0.411	51.24	0.366	0.542	265	270	-1.094074	0.111111
lcl|U00096.3_cds_AAC73245	HOST	0.3556	0.2978	0.328	0.1793	0.166	0.041	0.448	51.85	0.415	0.566	241	249	-1.048193	0.092369
lcl|U00096.3_cds_AAC73246	HOST	0.4454	0.2661	0.3754	0.1413	0.218	-0.055	0.403	55.85	0.331	0.404	402	412	-0.235194	0.116505
lcl|U00096.3_cds_AAC73247	HOST	0.4793	0.213	0.3425	0.1742	0.217	-0.034	0.405	57.3	0.311	0.416	190	198	0.117677	0.075758
lcl|U00096.3_cds_AAC73248	HOST	0.3918	0.2573	0.4076	0.1409	0.288	-0.008	0.434	53.82	0.332	0.428	196	201	0.151741	0.079602
lcl|U00096.3_cds_AAC73249	HOST	0.4013	0.2166	0.3427	0.2734	0.216	-0.047	0.409	61	0.381	0.43	181	189	-0.234921	0.063492
lcl|U00096.3_cds_AAC73250	HOST	0.2324	0.2324	0.364	0.3746	0.147	-0.029	0.363	55.52	0.483	0.443	780	823	0.6435	0.059538
lcl|U00096.3_cds_AAC73251	HOST	0.2609	0.2337	0.3736	0.3571	0.176	-0.019	0.379	60.35	0.47	0.458	219	233	0.119313	0.06867
lcl|U00096.3_cds_AAC73252	HOST	0.485	0.3234	0.2324	0.1515	0.531	0.441	0.686	41.2	0.394	0.45	188	194	-0.081443	0.061856
lcl|U00096.3_cds_AAC73253	HOST	0.2063	0.381	0.2778	0.3711	0.214	0.1	0.464	57.12	0.6	0.519	140	151	-0.12053	0.099338
lcl|U00096.3_cds_AAC73254	HOST	0.2749	0.4016	0.2039	0.365	0.449	0.415	0.653	43.88	0.609	0.559	447	465	-0.524946	0.088172
lcl|U00096.3_cds_AAC73255	HOST	0.3346	0.3386	0.2586	0.3208	0.291	0.137	0.492	55.12	0.515	0.537	299	308	-0.271753	0.097403
lcl|U00096.3_cds_AAC73256	HOST	0.1491	0.3684	0.2689	0.4234	0.193	0.062	0.457	47.91	0.645	0.534	138	148	-0.609459	0.074324
lcl|U00096.3_cds_AAC73257	HOST	0.254	0.2751	0.2963	0.4091	0.143	0.002	0.408	57.56	0.545	0.511	211	219	-0.421461	0.082192
lcl|U00096.3_cds_AAC73258	HOST	0.2273	0.3831	0.2	0.359	0.202	0.262	0.553	55.99	0.627	0.582	161	166	-0.271687	0.072289
lcl|U00096.3_cds_AAC73259	HOST	0.3391	0.2785	0.2922	0.2379	0.206	0.073	0.479	54.69	0.447	0.583	750	764	-0.515576	0.064136
lcl|U00096.3_cds_AAC73260	HOST	0.3167	0.3077	0.1802	0.4408	0.395	0.322	0.601	39.54	0.592	0.552	804	844	-0.419194	0.080569
lcl|U00096.3_cds_AAC73261	HOST	0.2199	0.2427	0.2903	0.4011	0.145	0.055	0.416	55.45	0.546	0.52	678	724	0.126796	0.04558
lcl|U00096.3_cds_AAC73262	HOST	0.3476	0.2833	0.2984	0.2275	0.183	0.005	0.437	58.65	0.441	0.581	247	257	-0.421012	0.101167
lcl|U00096.3_cds_AAC73263	HOST	0.376	0.2946	0.2455	0.2453	0.205	0.117	0.491	54.33	0.459	0.567	279	283	-0.456537	0.077739
lcl|U00096.3_cds_AAC73264	HOST	0.4567	0.2883	0.1274	0.2636	0.286	0.179	0.534	49.57	0.469	0.606	627	645	-0.247597	0.088372
lcl|U00096.3_cds_AAC73265	HOST	0.2031	0.275	0.2159	0.4712	0.178	0.096	0.45	52.64	0.631	0.573	360	400	0.007	0.0925
lcl|U00096.3_cds_AAC73266	HOST	0.4248	0.2864	0.1839	0.2709	0.216	0.092	0.489	50.68	0.461	0.56	436	448	-0.459375	0.142857
lcl|U00096.3_cds_AAC73267	HOST	0.3678	0.2414	0.3333	0.2658	0.127	-0.001	0.406	61	0.416	0.535	101	104	-1.444231	0.134615
lcl|U00096.3_cds_AAC73268	HOST	0.1795	0.2628	0.3116	0.4615	0.173	0.04	0.424	48.12	0.587	0.554	172	195	0.193846	0.194872
lcl|U00096.3_cds_AAC73269	HOST	0.1704	0.3632	0.2872	0.3797	0.162	0.064	0.435	52.28	0.618	0.537	246	259	-0.53166	0.084942
lcl|U00096.3_cds_AAC73270	HOST	0.3744	0.2821	0.3548	0.1842	0.158	0.02	0.431	53.58	0.393	0.547	211	218	-0.95734	0.077982
lcl|U00096.3_cds_AAC73271	HOST	0.3737	0.2803	0.2987	0.3229	0.261	0.11	0.473	51.11	0.463	0.481	484	505	-0.451089	0.106931
lcl|U00096.3_cds_AAC73272	HOST	0.3787	0.3025	0.3178	0.2366	0.204	0.069	0.471	50	0.436	0.573	427	437	-1.251259	0.08238
lcl|U00096.3_cds_AAC73273	HOST	0.3214	0.237	0.2282	0.4444	0.25	0.144	0.484	47.13	0.541	0.529	364	385	-0.234026	0.051948
lcl|U00096.3_cds_AAC73274	HOST	0.3804	0.1304	0.4565	0.2333	0.131	-0.089	0.373	49.89	0.3	0.489	110	111	-1.342342	0.063063
lcl|U00096.3_cds_AAC73275	HOST	0.3767	0.287	0.2947	0.2265	0.194	0.068	0.453	57.02	0.429	0.53	245	256	-0.610547	0.109375
lcl|U00096.3_cds_AAC73277	HOST	0.3565	0.2522	0.3298	0.2554	0.154	0.03	0.434	57.31	0.422	0.561	249	253	-1.140316	0.083004
lcl|U00096.3_cds_AAC73278	HOST	0.3572	0.2216	0.358	0.2259	0.18	0.031	0.435	50.7	0.381	0.554	826	848	-0.704599	0.081368
lcl|U00096.3_cds_AAC73279	HOST	0.367	0.2294	0.3829	0.2353	0.133	-0.05	0.384	61	0.38	0.535	237	243	-1.282305	0.074074
lcl|U00096.3_cds_AAC73280	HOST	0.3641	0.2667	0.3929	0.2156	0.165	-0.002	0.427	53.12	0.391	0.535	225	227	-1.202203	0.07489
lcl|U00096.3_cds_AAC73281	HOST	0.3722	0.2825	0.401	0.1604	0.155	0.041	0.455	53.27	0.368	0.526	253	260	-1.422692	0.065385
lcl|U00096.3_cds_AAC73282	HOST	0.1387	0.289	0.3155	0.4568	0.184	-0.025	0.383	50.76	0.617	0.547	201	226	0.131416	0.115044
lcl|U00096.3_cds_AAC73283	HOST	0.1145	0.3359	0.305	0.4586	0.171	-0.044	0.374	50.44	0.644	0.522	163	173	-0.439306	0.069364
lcl|U00096.3_cds_AAC73284	HOST	0.3228	0.3038	0.2516	0.3483	0.313	0.166	0.511	48.81	0.524	0.527	376	398	-0.020352	0.050251
lcl|U00096.3_cds_AAC73285	HOST	0.33	0.2414	0.3678	0.2632	0.183	0.025	0.44	49.93	0.418	0.525	225	231	-0.486147	0.103896
lcl|U00096.3_cds_AAC73286	HOST	0.3067	0.2605	0.2396	0.419	0.184	0.052	0.438	56.56	0.535	0.525	256	272	0.218382	0.143382
